YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,FLOODS
1901,24.0,30.0,22.4,83.0,43.0,203.1,285.0,364.4,208.1,91.9,36.4,8.3,1399.5,53.9,148.3,1060.5,136.7,1
1902,16.3,35.6,21.8,47.7,53.4,119.0,292.7,301.7,204.7,123.0,33.2,32.1,1281.4,51.9,123.0,918.2,188.3,1
1903,25.8,17.4,0.0,61.6,45.3,133.3,299.5,384.6,141.3,106.2,24.4,15.6,1254.8,43.1,106.8,958.7,146.1,1
1904,36.3,13.4,24.1,47.2,65.1,121.1,361.3,342.0,220.1,103.8,32.9,30.2,1397.6,49.7,136.3,1044.5,167.0,1
1905,15.2,6.8,43.2,30.3,95.5,167.4,242.7,244.4,112.5,89.7,42.8,11.8,1102.3,22.0,169.0,767.0,144.3,1
1906,15.2,10.4,7.1,0.0,40.4,239.4,235.8,367.9,156.0,130.9,30.5,22.7,1256.2,25.6,47.5,999.0,184.0,1
1907,37.0,63.3,48.9,49.5,90.0,174.7,381.6,297.9,86.0,70.0,41.4,8.0,1348.3,100.2,188.4,940.3,119.4,1
1908,27.2,39.4,38.8,27.9,40.1,150.6,262.6,253.2,271.0,71.0,16.3,7.3,1205.4,66.6,106.8,937.4,94.5,1
1909,12.4,3.1,16.8,27.4,38.3,91.1,206.6,298.9,178.0,9.6,20.9,0.0,903.0,15.5,82.4,774.6,30.5,1
1910,24.5,3.5,27.5,34.0,84.9,205.4,261.0,355.6,302.7,122.1,18.3,19.7,1459.3,28.0,146.4,1124.7,160.1,1
1911,12.4,28.7,58.8,83.4,87.8,132.1,271.9,310.9,231.8,79.1,21.7,18.9,1337.5,41.2,230.0,946.7,119.7,1
1912,12.4,29.7,43.2,97.9,85.8,181.5,403.8,403.9,213.3,193.5,58.7,24.6,1748.3,42.1,226.9,1202.5,276.8,1
1913,20.9,29.7,30.2,49.8,25.2,155.5,359.7,353.9,159.5,66.6,47.5,18.4,1316.8,50.6,105.1,1028.7,132.5,1
1914,0.0,18.4,25.7,34.8,49.0,221.1,375.3,315.6,135.6,85.4,11.5,38.3,1310.6,18.4,109.5,1047.6,135.1,1
